VideoId,Channelname,Duration,Category,No_views,No_comments,Rating
QuRYeRnAuXM,EvilSquirrelPictures,1135,Pets & Animals,252,1075,4.96
3TYqkBJ9YRk,hggh22,1135,Comedy,169,228,5
rSJ8QZWBegU,TimeGem,1135,Entertainment,95,356,4.31
nRcovJn9xHg,wooochacha,1135,Entertainment,118,1115,2.23
UEvVksP91kg,johnx113,1135,Entertainment,83,281,2.67
sVkuOk4jmCo,marcosoycadiz,1135,People & Blogs,49,1196,3.67
ZTopArY7Nbg,TroyChannel,1136,Entertainment,145,11,0
0RViGi2Rne8,OmnipotentSI,1135,Entertainment,9,490,2.31
HT_QlOJbDpg,dumbasstheredneck,1095,Comedy,14,1349,2.09
ShhClb6J-NA,thecrashguy,1136,Entertainment,61,29,0
g9e1alirMhc,iamdanielisaac,541,Comedy,152,483053,4.65
YZev1imoxX8,threefirstnames,1135,Entertainment,253,63,5
I4yKEK9o8gA,djlogitek,964,News & Politics,173,106929,4.39
1GKaVzNDbuI,fatvids,690,Comedy,176,2464486,4.5
yuZhwV24PmM,weneedhelp,1082,News & Politics,213,46183,4.71
zQ83d_D2MGs,dumbasstheredneck,1095,Comedy,14,1550,1.57
DomumdGQSg8,imgrown18,910,Comedy,224,392908,4.8
pFUYi7dp1WU,StanleyJenkins,1106,Comedy,200,110272,4.07
2l6vwAIAqNU,makemagazine,460,Film & Animation,294,71966,4.07
hiSmlmXp-aU,bravenewfilms,440,Entertainment,168,653840,4.43
dh6dF1XY3uI,Ffllaanndd,1090,Entertainment,249,146,5
_a0gQFOJYWM,diamondfan1910,1011,Film & Animation,369,728,4.64
UzPldH0vuHY,Ffllaanndd,1100,Entertainment,424,229,4
h9gRdAmGFnM,LinIsKorean,1067,Entertainment,410,220,4.33
rKWq0l6YiT0,ratfink43,719,News & Politics,37,4446,4.81
M67aD5lLC2M,zeldamastertimmy2,1100,Entertainment,477,379,4.2
gP0jnBrVEpI,NoodleStroodel,1069,Film & Animation,107,161,5
geUY_esOrt0,samsarajade,1108,Comedy,218,664,5
kIxj9S6jiB4,GoldGlove01,1089,Film & Animation,79,25,0
mfUwgrwkqiI,Dukescubbie,881,People & Blogs,53,447,4.86
0jjrvtqa-BQ,easterfilms,800,Entertainment,137,523,4.2
VoPgxHja4Os,Djclyve,744,Entertainment,340,1083,2.33
QJMZjx4L0BA,diamondfan1910,1038,Film & Animation,322,230,5
OshpuI9BGVU,mywiiowns,883,Entertainment,608,406,2.43
eBGIQ7ZuuiU,YouGotRickRolled,832,Comedy,210,8119804,4.64
L3mR8syHNIg,DarkArchon102,1068,Entertainment,84,109,5
McZ3lP8lb6E,uglydollfreak,1089,Entertainment,614,146,2.5
WsaQ0dQhXnA,SamProof,861,Entertainment,226,3685,4.85
16XHS2R_mEo,Zarzycki3000,1060,Entertainment,212,57,2.33
lhGZVgoDub0,WhiteKhakis,965,Entertainment,291,5481,4.64
aYHBqH_xbCw,Ryokibin,1133,News & Politics,521,11327,4.77
SfaxA9Q-9AQ,CBS,1134,News & Politics,177,25618,4.86
1cWWE3A2mDI,davoodnpussy,1135,News & Politics,89,3947,1.46
exT_E9FNu84,zabbabou,1136,News & Politics,63,549,3.15
osqnkdc349s,giantPANDER,1135,News & Politics,132,597,5
5lWlN8g2dAc,JoannaLloyduynsv,1134,News & Politics,53,2511,4.43
ZCYtPT_bpTI,speakmymind01,1133,News & Politics,116,5321,4.77
6KqmfUFZbBw,ScrappleFace,1134,News & Politics,45,12971,4.57
Y_hAXbgxXp8,andiKentvmai,1135,News & Politics,124,209,5
IxVsdS887HA,wazolangu,1130,News & Politics,39,44203,4.72
L1WYOl2_5Kg,iaxiloll,1134,News & Politics,382,4648,4.48
bjAuzPnJ82A,lotarvk,1134,News & Politics,122,6715,4.82
E8_odhuWfTk,SteveMarmel,1131,Comedy,149,53950,4.68
TKe2rBbGGEA,go33tv,1134,News & Politics,138,10240,4.77
lwrxclIGJqk,oonkamoonka,1134,Comedy,71,11888,4.48
T3depGF5E-0,llamomanu,1133,News & Politics,219,51837,4.71
9l2qbaOMbcU,ciwanamed,1135,News & Politics,116,894,5
2hZx3yBoNw4,CBSEXPosed,1134,News & Politics,116,7515,5
UCeA4K2-wNk,spityogamecom,856,Music,294,390697,3.77
BDmhe0vIFiQ,SpTgUrL2010,1063,Music,166,3768,3.75
3Cc7-4OeAgM,joris6440,1127,Music,303,368,4.6
NDtHpG0c0Cc,reidooproductions,1135,Howto & Style,185,84,2.67
e5L0hW2Dj10,MYHOODURHOOD2,1135,Music,64,199,0
UmAa8JTm1Cc,iRespond2U,1135,Music,59,116,0
QXEdjYf5ezY,spityogamecom,858,Music,401,267189,4.69
G84LhBePK6k,spityogamecom,864,Music,356,200754,4.76
